gt_side1,gt_side2,gt_side3,gt_side4,gt_side5,gt_side6,gt_side7,gt_side8,gt_side9,gt_side10,gt_side11,gt_side12,gt_side13,gt_side14,gt_side15,gt_side16,gt_side17,gt_side18,gt_side19,gt_side20,gt_side21,gt_side22,gt_side23,gt_side24,gt_side25,gt_side26,gt_side27,gt_side28,gt_side29,gt_side30,gt_side31,gt_side32,gt_side33,gt_side34,gt_side35,gt_side36,gt_side37,gt_side38,gt_side39,gt_side40,gt_side41,gt_side42,gt_side43,gt_side44,gt_side45,gt_side46,gt_side47,gt_side48,gt_side49,gt_side50,gt_side51,gt_side52,gt_side53,gt_side54,gt_side55,gt_side56,gt_side57,gt_side58,gt_side59,gt_side60,images_left1,images_left2,images_left3,images_left4,images_left5,images_left6,images_left7,images_left8,images_left9,images_left10,images_left11,images_left12,images_left13,images_left14,images_left15,images_left16,images_left17,images_left18,images_left19,images_left20,images_left21,images_left22,images_left23,images_left24,images_left25,images_left26,images_left27,images_left28,images_left29,images_left30,images_left31,images_left32,images_left33,images_left34,images_left35,images_left36,images_left37,images_left38,images_left39,images_left40,images_left41,images_left42,images_left43,images_left44,images_left45,images_left46,images_left47,images_left48,images_left49,images_left50,images_left51,images_left52,images_left53,images_left54,images_left55,images_left56,images_left57,images_left58,images_left59,images_left60,images_right1,images_right2,images_right3,images_right4,images_right5,images_right6,images_right7,images_right8,images_right9,images_right10,images_right11,images_right12,images_right13,images_right14,images_right15,images_right16,images_right17,images_right18,images_right19,images_right20,images_right21,images_right22,images_right23,images_right24,images_right25,images_right26,images_right27,images_right28,images_right29,images_right30,images_right31,images_right32,images_right33,images_right34,images_right35,images_right36,images_right37,images_right38,images_right39,images_right40,images_right41,images_right42,images_right43,images_right44,images_right45,images_right46,images_right47,images_right48,images_right49,images_right50,images_right51,images_right52,images_right53,images_right54,images_right55,images_right56,images_right57,images_right58,images_right59,images_right60
left,right,right,right,left,left,right,right,left,right,left,right,right,left,left,left,left,left,left,left,left,left,left,left,left,left,left,right,left,left,right,right,left,left,right,left,right,left,right,right,left,left,right,right,right,left,left,right,left,left,left,right,left,left,left,left,left,right,right,right,Groundtruth/154,DRPAN_without/320,DRPAN_without/696,DRPAN_without/774,Groundtruth/480,Groundtruth/609,DRPAN_without/412,DRPAN_without/777,Groundtruth/959,DRPAN_without/435,Groundtruth/658,DRPAN_without/957,DRPAN_without/280,Groundtruth/76,Groundtruth/224,Groundtruth/353,Groundtruth/831,Groundtruth/378,Groundtruth/59,Groundtruth/729,Groundtruth/689,Groundtruth/379,Groundtruth/753,Groundtruth/222,Groundtruth/646,Groundtruth/148,Groundtruth/294,DRPAN_without/256,Groundtruth/527,Groundtruth/715,DRPAN_without/206,DRPAN_without/502,Groundtruth/1007,Groundtruth/556,DRPAN_without/870,Groundtruth/162,DRPAN_without/814,Groundtruth/119,DRPAN_without/218,DRPAN_without/42,Groundtruth/1025,Groundtruth/747,DRPAN_without/117,DRPAN_without/397,DRPAN_without/735,Groundtruth/706,Groundtruth/736,DRPAN_without/293,Groundtruth/413,Groundtruth/421,Groundtruth/3,DRPAN_without/223,Groundtruth/36,Groundtruth/52,Groundtruth/537,Groundtruth/270,Groundtruth/627,DRPAN_without/757,DRPAN_without/583,DRPAN_without/161,DRPAN_without/154,Groundtruth/320,Groundtruth/696,Groundtruth/774,DRPAN_without/480,DRPAN_without/609,Groundtruth/412,Groundtruth/777,DRPAN_without/959,Groundtruth/435,DRPAN_without/658,Groundtruth/957,Groundtruth/280,DRPAN_without/76,DRPAN_without/224,DRPAN_without/353,DRPAN_without/831,DRPAN_without/378,DRPAN_without/59,DRPAN_without/729,DRPAN_without/689,DRPAN_without/379,DRPAN_without/753,DRPAN_without/222,DRPAN_without/646,DRPAN_without/148,DRPAN_without/294,Groundtruth/256,DRPAN_without/527,DRPAN_without/715,Groundtruth/206,Groundtruth/502,DRPAN_without/1007,DRPAN_without/556,Groundtruth/870,DRPAN_without/162,Groundtruth/814,DRPAN_without/119,Groundtruth/218,Groundtruth/42,DRPAN_without/1025,DRPAN_without/747,Groundtruth/117,Groundtruth/397,Groundtruth/735,DRPAN_without/706,DRPAN_without/736,Groundtruth/293,DRPAN_without/413,DRPAN_without/421,DRPAN_without/3,Groundtruth/223,DRPAN_without/36,DRPAN_without/52,DRPAN_without/537,DRPAN_without/270,DRPAN_without/627,Groundtruth/757,Groundtruth/583,Groundtruth/161
right,right,right,right,right,right,left,right,right,right,left,right,left,left,right,left,left,left,right,left,left,right,left,left,right,right,right,right,left,left,right,left,right,left,right,left,right,right,left,left,left,left,right,right,right,left,right,left,right,right,left,right,left,left,left,right,left,right,right,left,DRPAN_without/1040,DRPAN_without/764,DRPAN_without/479,DRPAN_without/193,DRPAN_without/461,DRPAN_without/408,Groundtruth/698,DRPAN_without/824,DRPAN_without/803,DRPAN_without/671,Groundtruth/71,DRPAN_without/1,Groundtruth/67,Groundtruth/733,DRPAN_without/831,Groundtruth/527,Groundtruth/158,Groundtruth/188,DRPAN_without/493,Groundtruth/587,Groundtruth/748,DRPAN_without/929,Groundtruth/867,Groundtruth/949,DRPAN_without/999,DRPAN_without/847,DRPAN_without/579,DRPAN_without/591,Groundtruth/344,Groundtruth/590,DRPAN_without/1009,Groundtruth/238,DRPAN_without/578,Groundtruth/215,DRPAN_without/137,Groundtruth/436,DRPAN_without/323,DRPAN_without/476,Groundtruth/820,Groundtruth/788,Groundtruth/301,Groundtruth/494,DRPAN_without/773,DRPAN_without/189,DRPAN_without/641,Groundtruth/310,DRPAN_without/580,Groundtruth/185,DRPAN_without/753,DRPAN_without/209,Groundtruth/680,DRPAN_without/298,Groundtruth/58,Groundtruth/127,Groundtruth/841,DRPAN_without/936,Groundtruth/59,DRPAN_without/166,DRPAN_without/660,Groundtruth/556,Groundtruth/1040,Groundtruth/764,Groundtruth/479,Groundtruth/193,Groundtruth/461,Groundtruth/408,DRPAN_without/698,Groundtruth/824,Groundtruth/803,Groundtruth/671,DRPAN_without/71,Groundtruth/1,DRPAN_without/67,DRPAN_without/733,Groundtruth/831,DRPAN_without/527,DRPAN_without/158,DRPAN_without/188,Groundtruth/493,DRPAN_without/587,DRPAN_without/748,Groundtruth/929,DRPAN_without/867,DRPAN_without/949,Groundtruth/999,Groundtruth/847,Groundtruth/579,Groundtruth/591,DRPAN_without/344,DRPAN_without/590,Groundtruth/1009,DRPAN_without/238,Groundtruth/578,DRPAN_without/215,Groundtruth/137,DRPAN_without/436,Groundtruth/323,Groundtruth/476,DRPAN_without/820,DRPAN_without/788,DRPAN_without/301,DRPAN_without/494,Groundtruth/773,Groundtruth/189,Groundtruth/641,DRPAN_without/310,Groundtruth/580,DRPAN_without/185,Groundtruth/753,Groundtruth/209,DRPAN_without/680,Groundtruth/298,DRPAN_without/58,DRPAN_without/127,DRPAN_without/841,Groundtruth/936,DRPAN_without/59,Groundtruth/166,Groundtruth/660,DRPAN_without/556
left,left,left,left,right,left,right,left,left,right,left,right,right,left,left,right,left,left,left,left,right,right,right,right,right,right,left,left,right,right,left,left,left,left,left,left,right,right,right,right,right,right,left,left,left,right,right,left,left,left,left,left,right,left,right,left,left,right,right,right,Groundtruth/304,Groundtruth/174,Groundtruth/809,Groundtruth/1023,DRPAN_without/656,Groundtruth/901,DRPAN_without/521,Groundtruth/329,Groundtruth/798,DRPAN_without/843,Groundtruth/220,DRPAN_without/47,DRPAN_without/84,Groundtruth/394,Groundtruth/58,DRPAN_without/516,Groundtruth/932,Groundtruth/936,Groundtruth/140,Groundtruth/356,DRPAN_without/425,DRPAN_without/347,DRPAN_without/419,DRPAN_without/216,DRPAN_without/31,DRPAN_without/240,Groundtruth/966,Groundtruth/758,DRPAN_without/833,DRPAN_without/793,Groundtruth/910,Groundtruth/190,Groundtruth/359,Groundtruth/24,Groundtruth/254,Groundtruth/215,DRPAN_without/799,DRPAN_without/7,DRPAN_without/949,DRPAN_without/611,DRPAN_without/559,DRPAN_without/612,Groundtruth/44,Groundtruth/875,Groundtruth/29,DRPAN_without/181,DRPAN_without/442,Groundtruth/580,Groundtruth/433,Groundtruth/35,Groundtruth/894,Groundtruth/315,DRPAN_without/971,Groundtruth/1026,DRPAN_without/707,Groundtruth/34,Groundtruth/6,DRPAN_without/287,DRPAN_without/406,DRPAN_without/693,DRPAN_without/304,DRPAN_without/174,DRPAN_without/809,DRPAN_without/1023,Groundtruth/656,DRPAN_without/901,Groundtruth/521,DRPAN_without/329,DRPAN_without/798,Groundtruth/843,DRPAN_without/220,Groundtruth/47,Groundtruth/84,DRPAN_without/394,DRPAN_without/58,Groundtruth/516,DRPAN_without/932,DRPAN_without/936,DRPAN_without/140,DRPAN_without/356,Groundtruth/425,Groundtruth/347,Groundtruth/419,Groundtruth/216,Groundtruth/31,Groundtruth/240,DRPAN_without/966,DRPAN_without/758,Groundtruth/833,Groundtruth/793,DRPAN_without/910,DRPAN_without/190,DRPAN_without/359,DRPAN_without/24,DRPAN_without/254,DRPAN_without/215,Groundtruth/799,Groundtruth/7,Groundtruth/949,Groundtruth/611,Groundtruth/559,Groundtruth/612,DRPAN_without/44,DRPAN_without/875,DRPAN_without/29,Groundtruth/181,Groundtruth/442,DRPAN_without/580,DRPAN_without/433,DRPAN_without/35,DRPAN_without/894,DRPAN_without/315,Groundtruth/971,DRPAN_without/1026,Groundtruth/707,DRPAN_without/34,DRPAN_without/6,Groundtruth/287,Groundtruth/406,Groundtruth/693
left,right,left,left,left,right,left,right,left,right,left,left,left,left,right,left,left,left,right,left,right,left,left,right,left,left,left,right,right,right,right,left,right,right,right,left,left,right,left,left,left,left,left,left,right,right,right,right,left,left,left,right,right,right,right,right,left,left,left,right,Groundtruth/294,DRPAN_without/508,Groundtruth/11,Groundtruth/212,Groundtruth/987,DRPAN_without/790,Groundtruth/494,DRPAN_without/662,Groundtruth/560,DRPAN_without/386,Groundtruth/996,Groundtruth/457,Groundtruth/73,Groundtruth/82,DRPAN_without/79,Groundtruth/913,Groundtruth/878,Groundtruth/329,DRPAN_without/998,Groundtruth/393,DRPAN_without/75,Groundtruth/723,Groundtruth/950,DRPAN_without/1031,Groundtruth/568,Groundtruth/599,Groundtruth/970,DRPAN_without/749,DRPAN_without/747,DRPAN_without/350,DRPAN_without/29,Groundtruth/1039,DRPAN_without/505,DRPAN_without/173,DRPAN_without/734,Groundtruth/493,Groundtruth/997,DRPAN_without/716,Groundtruth/178,Groundtruth/1021,Groundtruth/588,Groundtruth/306,Groundtruth/991,Groundtruth/32,DRPAN_without/280,DRPAN_without/945,DRPAN_without/223,DRPAN_without/569,Groundtruth/189,Groundtruth/44,Groundtruth/582,DRPAN_without/358,DRPAN_without/87,DRPAN_without/338,DRPAN_without/630,DRPAN_without/193,Groundtruth/620,Groundtruth/445,Groundtruth/810,DRPAN_without/518,DRPAN_without/294,Groundtruth/508,DRPAN_without/11,DRPAN_without/212,DRPAN_without/987,Groundtruth/790,DRPAN_without/494,Groundtruth/662,DRPAN_without/560,Groundtruth/386,DRPAN_without/996,DRPAN_without/457,DRPAN_without/73,DRPAN_without/82,Groundtruth/79,DRPAN_without/913,DRPAN_without/878,DRPAN_without/329,Groundtruth/998,DRPAN_without/393,Groundtruth/75,DRPAN_without/723,DRPAN_without/950,Groundtruth/1031,DRPAN_without/568,DRPAN_without/599,DRPAN_without/970,Groundtruth/749,Groundtruth/747,Groundtruth/350,Groundtruth/29,DRPAN_without/1039,Groundtruth/505,Groundtruth/173,Groundtruth/734,DRPAN_without/493,DRPAN_without/997,Groundtruth/716,DRPAN_without/178,DRPAN_without/1021,DRPAN_without/588,DRPAN_without/306,DRPAN_without/991,DRPAN_without/32,Groundtruth/280,Groundtruth/945,Groundtruth/223,Groundtruth/569,DRPAN_without/189,DRPAN_without/44,DRPAN_without/582,Groundtruth/358,Groundtruth/87,Groundtruth/338,Groundtruth/630,Groundtruth/193,DRPAN_without/620,DRPAN_without/445,DRPAN_without/810,Groundtruth/518
right,right,right,right,right,right,left,right,left,left,right,right,left,right,left,left,left,left,left,left,left,left,left,right,left,left,left,left,right,right,right,left,right,left,left,left,right,right,left,left,right,right,right,right,right,right,left,right,left,left,right,left,right,right,right,left,right,left,left,left,DRPAN_without/954,DRPAN_without/438,DRPAN_without/509,DRPAN_without/636,DRPAN_without/884,DRPAN_without/367,Groundtruth/739,DRPAN_without/653,Groundtruth/1003,Groundtruth/337,DRPAN_without/269,DRPAN_without/11,Groundtruth/489,DRPAN_without/659,Groundtruth/35,Groundtruth/74,Groundtruth/847,Groundtruth/7,Groundtruth/202,Groundtruth/373,Groundtruth/808,Groundtruth/45,Groundtruth/654,DRPAN_without/251,Groundtruth/734,Groundtruth/383,Groundtruth/927,Groundtruth/662,DRPAN_without/71,DRPAN_without/581,DRPAN_without/62,Groundtruth/704,DRPAN_without/530,Groundtruth/375,Groundtruth/358,Groundtruth/121,DRPAN_without/651,DRPAN_without/592,Groundtruth/138,Groundtruth/998,DRPAN_without/747,DRPAN_without/500,DRPAN_without/767,DRPAN_without/687,DRPAN_without/282,DRPAN_without/387,Groundtruth/468,DRPAN_without/93,Groundtruth/317,Groundtruth/845,DRPAN_without/505,Groundtruth/334,DRPAN_without/209,DRPAN_without/967,DRPAN_without/227,Groundtruth/903,DRPAN_without/556,Groundtruth/626,Groundtruth/206,Groundtruth/855,Groundtruth/954,Groundtruth/438,Groundtruth/509,Groundtruth/636,Groundtruth/884,Groundtruth/367,DRPAN_without/739,Groundtruth/653,DRPAN_without/1003,DRPAN_without/337,Groundtruth/269,Groundtruth/11,DRPAN_without/489,Groundtruth/659,DRPAN_without/35,DRPAN_without/74,DRPAN_without/847,DRPAN_without/7,DRPAN_without/202,DRPAN_without/373,DRPAN_without/808,DRPAN_without/45,DRPAN_without/654,Groundtruth/251,DRPAN_without/734,DRPAN_without/383,DRPAN_without/927,DRPAN_without/662,Groundtruth/71,Groundtruth/581,Groundtruth/62,DRPAN_without/704,Groundtruth/530,DRPAN_without/375,DRPAN_without/358,DRPAN_without/121,Groundtruth/651,Groundtruth/592,DRPAN_without/138,DRPAN_without/998,Groundtruth/747,Groundtruth/500,Groundtruth/767,Groundtruth/687,Groundtruth/282,Groundtruth/387,DRPAN_without/468,Groundtruth/93,DRPAN_without/317,DRPAN_without/845,Groundtruth/505,DRPAN_without/334,Groundtruth/209,Groundtruth/967,Groundtruth/227,DRPAN_without/903,Groundtruth/556,DRPAN_without/626,DRPAN_without/206,DRPAN_without/855
left,left,left,right,left,left,left,left,right,right,left,left,right,right,right,left,left,right,right,left,left,left,left,right,left,left,left,left,right,left,left,right,left,left,right,right,right,left,right,right,right,left,left,right,right,right,right,right,left,right,right,right,left,right,left,left,right,right,left,right,Groundtruth/549,Groundtruth/570,Groundtruth/13,DRPAN_without/275,Groundtruth/163,Groundtruth/3,Groundtruth/469,Groundtruth/413,DRPAN_without/688,DRPAN_without/325,Groundtruth/462,Groundtruth/290,DRPAN_without/824,DRPAN_without/557,DRPAN_without/875,Groundtruth/956,Groundtruth/99,DRPAN_without/185,DRPAN_without/397,Groundtruth/470,Groundtruth/128,Groundtruth/769,Groundtruth/924,DRPAN_without/733,Groundtruth/591,Groundtruth/41,Groundtruth/828,Groundtruth/805,DRPAN_without/813,Groundtruth/658,Groundtruth/782,DRPAN_without/611,Groundtruth/833,Groundtruth/863,DRPAN_without/625,DRPAN_without/677,DRPAN_without/504,Groundtruth/129,DRPAN_without/1038,DRPAN_without/45,DRPAN_without/485,Groundtruth/555,Groundtruth/835,DRPAN_without/983,DRPAN_without/776,DRPAN_without/48,DRPAN_without/322,DRPAN_without/794,Groundtruth/643,DRPAN_without/685,DRPAN_without/916,DRPAN_without/239,Groundtruth/882,DRPAN_without/539,Groundtruth/559,Groundtruth/618,DRPAN_without/197,DRPAN_without/377,Groundtruth/884,DRPAN_without/706,DRPAN_without/549,DRPAN_without/570,DRPAN_without/13,Groundtruth/275,DRPAN_without/163,DRPAN_without/3,DRPAN_without/469,DRPAN_without/413,Groundtruth/688,Groundtruth/325,DRPAN_without/462,DRPAN_without/290,Groundtruth/824,Groundtruth/557,Groundtruth/875,DRPAN_without/956,DRPAN_without/99,Groundtruth/185,Groundtruth/397,DRPAN_without/470,DRPAN_without/128,DRPAN_without/769,DRPAN_without/924,Groundtruth/733,DRPAN_without/591,DRPAN_without/41,DRPAN_without/828,DRPAN_without/805,Groundtruth/813,DRPAN_without/658,DRPAN_without/782,Groundtruth/611,DRPAN_without/833,DRPAN_without/863,Groundtruth/625,Groundtruth/677,Groundtruth/504,DRPAN_without/129,Groundtruth/1038,Groundtruth/45,Groundtruth/485,DRPAN_without/555,DRPAN_without/835,Groundtruth/983,Groundtruth/776,Groundtruth/48,Groundtruth/322,Groundtruth/794,DRPAN_without/643,Groundtruth/685,Groundtruth/916,Groundtruth/239,DRPAN_without/882,Groundtruth/539,DRPAN_without/559,DRPAN_without/618,Groundtruth/197,Groundtruth/377,DRPAN_without/884,Groundtruth/706
left,right,left,right,left,right,left,right,right,left,right,right,right,right,left,right,right,right,left,left,left,left,right,left,right,right,left,left,left,left,right,right,left,left,right,left,right,right,right,left,left,right,left,right,left,right,right,left,left,left,right,right,left,right,left,right,right,right,right,right,Groundtruth/742,DRPAN_without/342,Groundtruth/419,DRPAN_without/404,Groundtruth/223,DRPAN_without/150,Groundtruth/445,DRPAN_without/384,DRPAN_without/999,Groundtruth/863,DRPAN_without/889,DRPAN_without/18,DRPAN_without/945,DRPAN_without/980,Groundtruth/296,DRPAN_without/242,DRPAN_without/303,DRPAN_without/912,Groundtruth/1030,Groundtruth/289,Groundtruth/75,Groundtruth/350,DRPAN_without/489,Groundtruth/52,DRPAN_without/373,DRPAN_without/39,Groundtruth/594,Groundtruth/61,Groundtruth/597,Groundtruth/943,DRPAN_without/967,DRPAN_without/575,Groundtruth/104,Groundtruth/922,DRPAN_without/92,Groundtruth/80,DRPAN_without/987,DRPAN_without/634,DRPAN_without/397,Groundtruth/25,Groundtruth/109,DRPAN_without/100,Groundtruth/798,DRPAN_without/142,Groundtruth/393,DRPAN_without/273,DRPAN_without/380,Groundtruth/87,Groundtruth/149,Groundtruth/793,DRPAN_without/157,DRPAN_without/576,Groundtruth/347,DRPAN_without/200,Groundtruth/552,DRPAN_without/674,DRPAN_without/667,DRPAN_without/1039,DRPAN_without/436,DRPAN_without/312,DRPAN_without/742,Groundtruth/342,DRPAN_without/419,Groundtruth/404,DRPAN_without/223,Groundtruth/150,DRPAN_without/445,Groundtruth/384,Groundtruth/999,DRPAN_without/863,Groundtruth/889,Groundtruth/18,Groundtruth/945,Groundtruth/980,DRPAN_without/296,Groundtruth/242,Groundtruth/303,Groundtruth/912,DRPAN_without/1030,DRPAN_without/289,DRPAN_without/75,DRPAN_without/350,Groundtruth/489,DRPAN_without/52,Groundtruth/373,Groundtruth/39,DRPAN_without/594,DRPAN_without/61,DRPAN_without/597,DRPAN_without/943,Groundtruth/967,Groundtruth/575,DRPAN_without/104,DRPAN_without/922,Groundtruth/92,DRPAN_without/80,Groundtruth/987,Groundtruth/634,Groundtruth/397,DRPAN_without/25,DRPAN_without/109,Groundtruth/100,DRPAN_without/798,Groundtruth/142,DRPAN_without/393,Groundtruth/273,Groundtruth/380,DRPAN_without/87,DRPAN_without/149,DRPAN_without/793,Groundtruth/157,Groundtruth/576,DRPAN_without/347,Groundtruth/200,DRPAN_without/552,Groundtruth/674,Groundtruth/667,Groundtruth/1039,Groundtruth/436,Groundtruth/312
right,left,left,right,right,right,right,left,right,left,left,left,right,left,left,right,right,right,left,right,left,right,left,left,right,left,right,right,right,left,left,right,right,right,left,left,left,right,right,right,left,left,left,left,right,left,left,right,right,left,left,right,left,left,left,left,left,left,right,right,DRPAN_without/481,Groundtruth/754,Groundtruth/491,DRPAN_without/472,DRPAN_without/1025,DRPAN_without/910,DRPAN_without/774,Groundtruth/24,DRPAN_without/943,Groundtruth/257,Groundtruth/649,Groundtruth/889,DRPAN_without/792,Groundtruth/345,Groundtruth/393,DRPAN_without/529,DRPAN_without/259,DRPAN_without/945,Groundtruth/923,DRPAN_without/862,Groundtruth/601,DRPAN_without/767,Groundtruth/483,Groundtruth/969,DRPAN_without/513,Groundtruth/306,DRPAN_without/363,DRPAN_without/880,DRPAN_without/21,Groundtruth/401,Groundtruth/397,DRPAN_without/612,DRPAN_without/165,DRPAN_without/159,Groundtruth/417,Groundtruth/81,Groundtruth/501,DRPAN_without/65,DRPAN_without/321,DRPAN_without/611,Groundtruth/357,Groundtruth/1048,Groundtruth/425,Groundtruth/650,DRPAN_without/1011,Groundtruth/268,Groundtruth/820,DRPAN_without/999,DRPAN_without/1050,Groundtruth/771,Groundtruth/288,DRPAN_without/947,Groundtruth/894,Groundtruth/859,Groundtruth/79,Groundtruth/109,Groundtruth/468,Groundtruth/450,DRPAN_without/821,DRPAN_without/1041,Groundtruth/481,DRPAN_without/754,DRPAN_without/491,Groundtruth/472,Groundtruth/1025,Groundtruth/910,Groundtruth/774,DRPAN_without/24,Groundtruth/943,DRPAN_without/257,DRPAN_without/649,DRPAN_without/889,Groundtruth/792,DRPAN_without/345,DRPAN_without/393,Groundtruth/529,Groundtruth/259,Groundtruth/945,DRPAN_without/923,Groundtruth/862,DRPAN_without/601,Groundtruth/767,DRPAN_without/483,DRPAN_without/969,Groundtruth/513,DRPAN_without/306,Groundtruth/363,Groundtruth/880,Groundtruth/21,DRPAN_without/401,DRPAN_without/397,Groundtruth/612,Groundtruth/165,Groundtruth/159,DRPAN_without/417,DRPAN_without/81,DRPAN_without/501,Groundtruth/65,Groundtruth/321,Groundtruth/611,DRPAN_without/357,DRPAN_without/1048,DRPAN_without/425,DRPAN_without/650,Groundtruth/1011,DRPAN_without/268,DRPAN_without/820,Groundtruth/999,Groundtruth/1050,DRPAN_without/771,DRPAN_without/288,Groundtruth/947,DRPAN_without/894,DRPAN_without/859,DRPAN_without/79,DRPAN_without/109,DRPAN_without/468,DRPAN_without/450,Groundtruth/821,Groundtruth/1041
left,right,left,right,left,left,left,right,right,right,right,left,right,right,left,right,left,left,left,left,right,right,right,left,left,right,right,left,left,right,left,left,left,left,right,left,left,left,right,left,left,left,left,left,right,right,right,right,right,right,left,right,left,left,right,right,right,left,right,left,Groundtruth/909,DRPAN_without/473,Groundtruth/919,DRPAN_without/819,Groundtruth/820,Groundtruth/475,Groundtruth/8,DRPAN_without/841,DRPAN_without/344,DRPAN_without/931,DRPAN_without/1,Groundtruth/142,DRPAN_without/516,DRPAN_without/895,Groundtruth/795,DRPAN_without/464,Groundtruth/107,Groundtruth/480,Groundtruth/799,Groundtruth/354,DRPAN_without/46,DRPAN_without/236,DRPAN_without/519,Groundtruth/161,Groundtruth/578,DRPAN_without/618,DRPAN_without/707,Groundtruth/579,Groundtruth/953,DRPAN_without/726,Groundtruth/908,Groundtruth/251,Groundtruth/791,Groundtruth/298,DRPAN_without/748,Groundtruth/754,Groundtruth/1031,Groundtruth/229,DRPAN_without/1023,Groundtruth/73,Groundtruth/802,Groundtruth/311,Groundtruth/955,Groundtruth/911,DRPAN_without/486,DRPAN_without/991,DRPAN_without/233,DRPAN_without/303,DRPAN_without/468,DRPAN_without/36,Groundtruth/654,DRPAN_without/614,Groundtruth/425,Groundtruth/566,DRPAN_without/881,DRPAN_without/672,DRPAN_without/213,Groundtruth/970,DRPAN_without/415,Groundtruth/115,DRPAN_without/909,Groundtruth/473,DRPAN_without/919,Groundtruth/819,DRPAN_without/820,DRPAN_without/475,DRPAN_without/8,Groundtruth/841,Groundtruth/344,Groundtruth/931,Groundtruth/1,DRPAN_without/142,Groundtruth/516,Groundtruth/895,DRPAN_without/795,Groundtruth/464,DRPAN_without/107,DRPAN_without/480,DRPAN_without/799,DRPAN_without/354,Groundtruth/46,Groundtruth/236,Groundtruth/519,DRPAN_without/161,DRPAN_without/578,Groundtruth/618,Groundtruth/707,DRPAN_without/579,DRPAN_without/953,Groundtruth/726,DRPAN_without/908,DRPAN_without/251,DRPAN_without/791,DRPAN_without/298,Groundtruth/748,DRPAN_without/754,DRPAN_without/1031,DRPAN_without/229,Groundtruth/1023,DRPAN_without/73,DRPAN_without/802,DRPAN_without/311,DRPAN_without/955,DRPAN_without/911,Groundtruth/486,Groundtruth/991,Groundtruth/233,Groundtruth/303,Groundtruth/468,Groundtruth/36,DRPAN_without/654,Groundtruth/614,DRPAN_without/425,DRPAN_without/566,Groundtruth/881,Groundtruth/672,Groundtruth/213,DRPAN_without/970,Groundtruth/415,DRPAN_without/115
left,left,right,left,left,right,left,left,right,left,right,right,right,right,right,right,left,left,left,left,right,right,left,left,right,left,left,left,right,left,right,right,left,left,left,left,right,right,left,left,left,right,right,left,right,right,right,left,right,left,left,left,right,right,right,right,left,left,right,right,Groundtruth/359,Groundtruth/891,DRPAN_without/860,Groundtruth/490,Groundtruth/739,DRPAN_without/399,Groundtruth/441,Groundtruth/652,DRPAN_without/877,Groundtruth/542,DRPAN_without/941,DRPAN_without/711,DRPAN_without/32,DRPAN_without/829,DRPAN_without/125,DRPAN_without/268,Groundtruth/1008,Groundtruth/154,Groundtruth/335,Groundtruth/763,DRPAN_without/339,DRPAN_without/523,Groundtruth/676,Groundtruth/838,DRPAN_without/1037,Groundtruth/1017,Groundtruth/224,Groundtruth/193,DRPAN_without/707,Groundtruth/843,DRPAN_without/795,DRPAN_without/149,Groundtruth/576,Groundtruth/227,Groundtruth/48,Groundtruth/876,DRPAN_without/206,DRPAN_without/113,Groundtruth/338,Groundtruth/238,Groundtruth/444,DRPAN_without/741,DRPAN_without/31,Groundtruth/650,DRPAN_without/38,DRPAN_without/1029,DRPAN_without/930,Groundtruth/235,DRPAN_without/214,Groundtruth/213,Groundtruth/402,Groundtruth/994,DRPAN_without/669,DRPAN_without/520,DRPAN_without/4,DRPAN_without/733,Groundtruth/712,Groundtruth/961,DRPAN_without/475,DRPAN_without/194,DRPAN_without/359,DRPAN_without/891,Groundtruth/860,DRPAN_without/490,DRPAN_without/739,Groundtruth/399,DRPAN_without/441,DRPAN_without/652,Groundtruth/877,DRPAN_without/542,Groundtruth/941,Groundtruth/711,Groundtruth/32,Groundtruth/829,Groundtruth/125,Groundtruth/268,DRPAN_without/1008,DRPAN_without/154,DRPAN_without/335,DRPAN_without/763,Groundtruth/339,Groundtruth/523,DRPAN_without/676,DRPAN_without/838,Groundtruth/1037,DRPAN_without/1017,DRPAN_without/224,DRPAN_without/193,Groundtruth/707,DRPAN_without/843,Groundtruth/795,Groundtruth/149,DRPAN_without/576,DRPAN_without/227,DRPAN_without/48,DRPAN_without/876,Groundtruth/206,Groundtruth/113,DRPAN_without/338,DRPAN_without/238,DRPAN_without/444,Groundtruth/741,Groundtruth/31,DRPAN_without/650,Groundtruth/38,Groundtruth/1029,Groundtruth/930,DRPAN_without/235,Groundtruth/214,DRPAN_without/213,DRPAN_without/402,DRPAN_without/994,Groundtruth/669,Groundtruth/520,Groundtruth/4,Groundtruth/733,DRPAN_without/712,DRPAN_without/961,Groundtruth/475,Groundtruth/194
